"language","filename","relative_path","size_bytes","sha256","modified_time"
"arabic","ar_01_run_01.wav","outputs\mms\arabic\ar_01_run_01.wav","414778","1C98D89E96658152A6BF92A2D7D3AFCDB7D8FC0514FA5641F766E0CEB1FCBEE9","2026-07-14 23:54:52"
"arabic","ar_01_run_02.wav","outputs\mms\arabic\ar_01_run_02.wav","414778","12C8ACD5F52E203657600CFAC8B9D8E2DB54C8B0DB74FAD212B25997615021D8","2026-07-14 23:54:54"
"arabic","ar_01_run_03.wav","outputs\mms\arabic\ar_01_run_03.wav","409658","88B3AD0CA36BCE092936775388AD5BB56CEF2CD120387E757C68066FA25E8670","2026-07-14 23:54:56"
"arabic","ar_02_run_01.wav","outputs\mms\arabic\ar_02_run_01.wav","261178","E6999E486DD0B1F7C0B50AD4E05AA278DF833C678132D06B913A9B44759A8D64","2026-07-14 23:54:57"
"arabic","ar_02_run_02.wav","outputs\mms\arabic\ar_02_run_02.wav","270394","CE9429F3747DDC88B1D9D4A32B24C5F63530E7A266592841502CA9DC9CF2A558","2026-07-14 23:54:59"
"arabic","ar_02_run_03.wav","outputs\mms\arabic\ar_02_run_03.wav","251962","8B63B418902E348CB5455BDA52C50460F60C6F99DBD8CBC0F73F938F13A5E9AF","2026-07-14 23:55:00"
"arabic","ar_03_run_01.wav","outputs\mms\arabic\ar_03_run_01.wav","282682","0CED299B1877CE763337D83D38957AB53CB178560F9C15465639CF1B764F6515","2026-07-14 23:55:01"
"arabic","ar_03_run_02.wav","outputs\mms\arabic\ar_03_run_02.wav","263226","F0D08CA969AFFFBE17F10BA4FCC14C9214E1C4C6B7C30B1FBF049399F369ED07","2026-07-14 23:55:03"
"arabic","ar_03_run_03.wav","outputs\mms\arabic\ar_03_run_03.wav","278586","449CB8D5E63B55AF09C74EA2D4E4E5167D40C393A06F53E4E88A969EA5ED89E5","2026-07-14 23:55:05"
"arabic","ar_04_run_01.wav","outputs\mms\arabic\ar_04_run_01.wav","435258","6E27F22AB0CA54881A5BF7C4F56B25E85CBE9E61A40BE816352A202C6E00B188","2026-07-14 23:55:06"
"arabic","ar_04_run_02.wav","outputs\mms\arabic\ar_04_run_02.wav","476218","DD0FDA86E32CC530F3004457EFC502E0084216A7AB91EC9582134567C84FC6A2","2026-07-14 23:55:09"
"arabic","ar_04_run_03.wav","outputs\mms\arabic\ar_04_run_03.wav","445498","E7C5B9BD7C9D41A88690FBF6D26000B27576A1415546F218F15B5BD1D2C5C56E","2026-07-14 23:55:11"
"arabic","ar_05_run_01.wav","outputs\mms\arabic\ar_05_run_01.wav","590906","250BE967B762F962EE96E47F193722814FC10239505F6DAFF352EE8BEFA3E7E3","2026-07-14 23:55:13"
"arabic","ar_05_run_02.wav","outputs\mms\arabic\ar_05_run_02.wav","564282","EFC755A50AA245556C3D6E67ABDCB58052202ED6F7D893018B9966831F705B27","2026-07-14 23:55:15"
"arabic","ar_05_run_03.wav","outputs\mms\arabic\ar_05_run_03.wav","587834","ABF6CF511313A328ECBFB41D0ABBE8D1A6A300B4B86F23456FBC8985661A471D","2026-07-14 23:55:18"
"arabic","ar_mms_smoke_test.wav","outputs\mms\arabic\ar_mms_smoke_test.wav","422970","1CEED6B63C7774ECBA21EB9E125021486E66D019B721E065D2665738FBD06CF1","2026-07-15 00:07:36"
"english","en_01_run_01.wav","outputs\mms\english\en_01_run_01.wav","255034","B7CC5A76A2EDB933ED3A9B8901ED90493C94DAA1A2297008344E6D639193DCA0","2026-07-15 11:03:30"
"english","en_01_run_02.wav","outputs\mms\english\en_01_run_02.wav","256058","2498C04070E649F54134B7F658586E7C432923EE5436C4621E7111E8696946DE","2026-07-15 11:03:31"
"english","en_01_run_03.wav","outputs\mms\english\en_01_run_03.wav","245818","6F8506545B88C742839EBF45693DBBE04C2E7F2EB39031A1DEB3C8F2C5B878A6","2026-07-15 11:03:32"
"english","en_02_run_01.wav","outputs\mms\english\en_02_run_01.wav","255034","4BF528B155253DB6E707C7A9182AD51759350DAE8340C6B85C02247AF2C78B25","2026-07-15 11:03:33"
"english","en_02_run_02.wav","outputs\mms\english\en_02_run_02.wav","239674","C3D48FE2990EAD4D98F971441E400861FAF15BB02FC58916EFB1D1838AFFF965","2026-07-15 11:03:34"
"english","en_02_run_03.wav","outputs\mms\english\en_02_run_03.wav","242746","66A1E2C5395C9799CA3D258C4D1F982A1F0BE27B41EF6D7F54FB2CC243D0A289","2026-07-15 11:03:35"
"english","en_03_run_01.wav","outputs\mms\english\en_03_run_01.wav","284730","A8431507E87E56ACB191ED76F651F92260B6CBF62388817FDE47DDCDF0905EA4","2026-07-15 11:03:36"
"english","en_03_run_02.wav","outputs\mms\english\en_03_run_02.wav","242746","81AB8300D063718A06690B987540E245E321582F404CD476244A4FDE6CBA65D2","2026-07-15 11:03:37"
"english","en_03_run_03.wav","outputs\mms\english\en_03_run_03.wav","275514","54DF67EE441429A5098F9E13C7D567A72E937404C6D85ED145CAA1303F17A24F","2026-07-15 11:03:38"
"english","en_04_run_01.wav","outputs\mms\english\en_04_run_01.wav","304186","C2BC25A836B26CE15B0F2C476063C80E40D3BD6D5EF16266090F1D02A12EE231","2026-07-15 11:03:40"
"english","en_04_run_02.wav","outputs\mms\english\en_04_run_02.wav","302138","7B10B561AAAA5911347C25F81788CBF497E57BAF332CB29546A53E88FB4D4E4C","2026-07-15 11:03:41"
"english","en_04_run_03.wav","outputs\mms\english\en_04_run_03.wav","301114","68258C3797CC379B92F8CE107B5614A1EDEA3A37AC664CF866F231C7CD45C2CD","2026-07-15 11:03:42"
"english","en_05_run_01.wav","outputs\mms\english\en_05_run_01.wav","386106","669B95893D4A995ABD27A08D18926858D6CA5CAA67A076A86F983C92716844A2","2026-07-15 11:03:43"
"english","en_05_run_02.wav","outputs\mms\english\en_05_run_02.wav","420922","3613DC6648F918C7241D61141146061CD210FFB580BB7AC1737AB32FEA94343B","2026-07-15 11:03:45"
"english","en_05_run_03.wav","outputs\mms\english\en_05_run_03.wav","377914","B7EDEC83BE01822272D63FD134498AF49F991518FE92D4FAE2D6B516EFFD373E","2026-07-15 11:03:47"
"english","en_mms_smoke_test.wav","outputs\mms\english\en_mms_smoke_test.wav","226362","1E0E67EAF1DE3277D58C8F2AD67DE332C9817FCA3D4EE5876CCDC2359B1D031A","2026-07-15 00:07:36"
"hindi","hi_01_run_01.wav","outputs\mms\hindi\hi_01_run_01.wav","367674","E01E696B27DDDAF12899B11FBF9CBEEE991536568AC65767BCDB4BE6361A2DA1","2026-07-14 23:55:42"
"hindi","hi_01_run_02.wav","outputs\mms\hindi\hi_01_run_02.wav","349242","296B8CC43EC9B6E92FF689942AAAEA6514180FABC175897CCDC6385ED9EF3E87","2026-07-14 23:55:44"
"hindi","hi_01_run_03.wav","outputs\mms\hindi\hi_01_run_03.wav","353338","5830F19EC92C270B42BCBC6CB5FEE314B36CD600B09F4F14160B6E18B4872425","2026-07-14 23:55:45"
"hindi","hi_02_run_01.wav","outputs\mms\hindi\hi_02_run_01.wav","240698","D98CCF4B32CC33224A223A3424B0E33999BB9877220C46F3FAEABAA5F68BA4B3","2026-07-14 23:55:47"
"hindi","hi_02_run_02.wav","outputs\mms\hindi\hi_02_run_02.wav","237626","33955CBA8A1B421F5F2115F0ABC7202DBC214082E5291312A01FAD281AC382A8","2026-07-14 23:55:48"
"hindi","hi_02_run_03.wav","outputs\mms\hindi\hi_02_run_03.wav","224314","7811864BFB553FF0C72DF1C910CAC0C1B0356A3AFF686DADB3135630837E5E3A","2026-07-14 23:55:49"
"hindi","hi_03_run_01.wav","outputs\mms\hindi\hi_03_run_01.wav","222266","2594B74C965A51881A78619B01B949C9D0E680D28A4A213859A78A317A7DEFF8","2026-07-14 23:55:50"
